Node=鄉	9	61
海	心	0.041666666666666664	Lu1983.419.2
海	慮	0.041666666666666664	Lu1983.419.2
海	刑	0.041666666666666664	Lu1983.419.2
海	耕	0.041666666666666664	Lu1983.419.2
海	寧	0.041666666666666664	Lu1983.419.2
海	榮	0.041666666666666664	Lu1983.419.2
海	夜	0.041666666666666664	Lu1983.419.2
海	我	0.041666666666666664	Lu1983.419.2
海	親	0.041666666666666664	Lu1983.419.2
海	為	0.041666666666666664	Lu1983.419.2
海	憂	0.041666666666666664	Lu1983.419.2
海	周	0.041666666666666664	Lu1983.419.2
海	秋	0.041666666666666664	Lu1983.419.2
海	須	0.041666666666666664	Lu1983.419.2
海	驅	0.041666666666666664	Lu1983.419.2
海	無	0.041666666666666664	Lu1983.419.2
海	愚	0.041666666666666664	Lu1983.419.2
海	怡	0.041666666666666664	Lu1983.419.2
海	頤	0.041666666666666664	Lu1983.419.2
Node=何	11	61
何	里	0.3333333333333333	Lu1983.002.1
何	海	0.3333333333333333	Lu1983.002.1
何	雲	0.3333333333333333	Lu1983.002.1
何	逝	1.0	Lu1983.003.1
何	永	0.034482758620689655	Lu1983.027.2
何	臣	0.034482758620689655	Lu1983.027.2
何	王	0.034482758620689655	Lu1983.027.2
何	冰	0.034482758620689655	Lu1983.027.2
何	廢	0.034482758620689655	Lu1983.027.2
何	繇	0.034482758620689655	Lu1983.027.2
何	獸	0.034482758620689655	Lu1983.027.2
何	匱	0.034482758620689655	Lu1983.027.2
何	德	0.034482758620689655	Lu1983.027.2
何	恢	0.034482758620689655	Lu1983.027.2
何	夫	0.034482758620689655	Lu1983.027.2
何	祖	0.034482758620689655	Lu1983.027.2
何	夜	0.034482758620689655	Lu1983.027.2
何	子	0.034482758620689655	Lu1983.027.2
何	子	0.2	Lu1983.147.1
何	司	0.034482758620689655	Lu1983.027.2
何	近	0.034482758620689655	Lu1983.027.2
何	鑒	0.034482758620689655	Lu1983.027.2
何	失	0.034482758620689655	Lu1983.027.2
何	霜	0.034482758620689655	Lu1983.027.2
何	顛	0.034482758620689655	Lu1983.027.2
何	發	0.034482758620689655	Lu1983.027.2
何	徂	0.034482758620689655	Lu1983.027.2
何	同	0.2	Lu1983.123.1
